time,Core_MSCI_World_ex_Australia_ESG_Leaders_Volume,Edge_MSCI_World_Multifactor_Volume,Global_100_Volume,Global_Healthcare_Volume,SP_500_Volume,volume,Core_MSCI_World_ex_Australia_ESG_Leaders_Costs,Edge_MSCI_World_Multifactor_Costs,Global_100_Costs,Global_Healthcare_Costs,SP_500_Costs,close
8-Jan-18,"640,778.00","761,802.00","39,600,000.00","28,900,000.00","530,550,000.00","120,090,516.00",31.93,31.27,60.65,73.68,352.17,109.94
9-Jan-18,"640,778.00","761,802.00","39,600,000.00","28,900,000.00","530,550,000.00","120,090,516.00",32.04,31.39,60.8,74.37,353.41,110.402
10-Jan-18,"640,778.00","761,802.00","39,600,000.00","28,900,000.00","538,750,000.00","121,730,516.00",31.88,31.24,60.62,73.95,351.85,109.908
11-Jan-18,"640,778.00","761,802.00","39,600,000.00","28,900,000.00","539,400,000.00","121,860,516.00",32.01,31.29,60.66,73.85,353.23,110.208
12-Jan-18,"640,778.00","761,802.00","39,600,000.00","28,900,000.00","539,450,000.00","121,870,516.00",32.18,31.43,61.09,74.22,354.85,110.754
16-Jan-18,"640,778.00","761,802.00","39,600,000.00","28,900,000.00","539,800,000.00","121,940,516.00",31.82,31.17,60.65,73.86,350.63,109.626
17-Jan-18,"640,778.00","841,802.00","39,600,000.00","28,900,000.00","539,650,000.00","121,926,516.00",32,31.37,60.78,74.1,353.08,110.266
18-Jan-18,"640,778.00","841,802.00","39,600,000.00","29,000,000.00","539,800,000.00","121,976,516.00",31.88,31.24,60.63,73.95,352.08,109.956
19-Jan-18,"640,778.00","841,802.00","39,600,000.00","29,100,000.00","539,400,000.00","121,916,516.00",32.01,31.41,60.64,74.19,353.01,110.252
22-Jan-18,"640,778.00","841,802.00","39,600,000.00","29,100,000.00","539,100,000.00","121,856,516.00",32.13,31.42,60.92,74.44,355.02,110.786
23-Jan-18,"640,778.00","841,802.00","39,600,000.00","29,100,000.00","539,100,000.00","121,856,516.00",32.3,31.63,61.32,74.66,356.83,111.348
24-Jan-18,"640,778.00","841,802.00","39,600,000.00","29,100,000.00","539,200,000.00","121,876,516.00",32.01,31.37,60.74,74.34,353.34,110.36
25-Jan-18,"640,778.00","841,802.00","39,600,000.00","29,100,000.00","540,000,000.00","122,036,516.00",31.89,31.29,60.72,74.75,352.55,110.24
26-Jan-18,0,0,"39,600,000.00","29,100,000.00","539,900,000.00","121,720,000.00",0,0,61.14,75.96,356.77,98.774
29-Jan-18,"640,778.00","841,802.00","39,600,000.00","29,100,000.00","547,500,000.00","123,536,516.00",31.94,31.27,60.75,75.62,354.32,110.78
30-Jan-18,"640,778.00","841,802.00","39,600,000.00","29,100,000.00","548,850,000.00","123,806,516.00",31.68,30.91,60.23,74.45,350.73,109.6
31-Jan-18,"640,778.00","841,802.00","39,600,000.00","29,100,000.00","549,650,000.00","123,966,516.00",31.63,30.84,60.19,73.44,350.56,109.332
1-Feb-18,"640,778.00","841,802.00","39,600,000.00","29,100,000.00","552,300,000.00","124,496,516.00",31.94,31.18,60.53,73.87,353.54,110.212
2-Feb-18,"640,778.00","841,802.00","39,600,000.00","29,100,000.00","553,900,000.00","124,816,516.00",31.58,30.9,59.9,73.74,349.77,109.178
5-Feb-18,"640,778.00","841,802.00","39,600,000.00","29,100,000.00","556,450,000.00","125,326,516.00",30.32,29.99,58.06,71.08,335.55,105
6-Feb-18,"680,778.00","841,802.00","39,600,000.00","29,100,000.00","558,450,000.00","125,734,516.00",31.11,30.09,58.56,71.45,344.1,107.062
7-Feb-18,"680,778.00","841,802.00","39,400,000.00","29,100,000.00","559,450,000.00","125,894,516.00",30.97,30.26,58.63,71.89,343.47,107.044
